NO,Kode,NAMA,Harga Beli,Harga Jual,Keterangan,Kategori,Terjual,Terbeli,Sisa,No,Barcode,Brand,Avatar
1,1,Strap Rubber Model Apple 20MM Black,10000,50000,SRMA20001,Silicone Rubber ,5,1,4,1,SRMA20001,ANDROID,dist/upload/
2,2,Strap Rubber Model Apple 20MM White,10000,50000,SRMA20002,Silicone Rubber ,19,1,18,2,SRMA20002,ANDROID,dist/upload/
3,3,Strap Rubber Model Apple 20MM Navy,10000,50000,SRMA20003,Silicone Rubber ,25,1,24,3,SRMA20003,ANDROID,dist/upload/
4,4,Strap Rubber Model Apple 20MM Grey,10000,50000,SRMA20004,Silicone Rubber ,14,1,13,4,SRMA20004,ANDROID,dist/upload/
5,5,Strap Rubber Model Apple 20MM Red,10000,50000,SRMA20005,Silicone Rubber ,12,1,11,5,SRMA20005,ANDROID,dist/upload/
6,6,Strap Rubber Model Apple 20MM Orange,10000,50000,SRMA20006,Silicone Rubber ,13,1,12,6,SRMA20006,ANDROID,dist/upload/
7,7,Strap Rubber Model Apple 20MM Yellow,10000,50000,SRMA20007,Silicone Rubber ,9,1,8,7,SRMA20007,ANDROID,dist/upload/
8,8,Strap Rubber Model Apple 20MM Peach/ Soft Pink,10000,50000,SRMA20008,Silicone Rubber ,7,1,6,8,SRMA20008,ANDROID,dist/upload/
9,9,Strap Rubber Model Apple 20MM Pink,10000,50000,SRMA20009,Silicone Rubber ,18,1,17,9,SRMA20009,ANDROID,dist/upload/
10,10,Strap Rubber Model Apple 20MM Blue,10000,50000,SRMA20010,Silicone Rubber ,6,1,5,10,SRMA20010,ANDROID,dist/upload/
11,11,Strap Rubber Model Apple 20MM Purple,10000,50000,SRMA20011,Silicone Rubber ,7,1,6,11,SRMA20011,ANDROID,dist/upload/
12,12,Strap Rubber Model Apple 20MM Army Green,10000,50000,SRMA20012,Silicone Rubber ,21,1,20,12,SRMA20012,ANDROID,dist/upload/
13,13,Strap Rubber Model Apple 20MM Lime Green,10000,50000,SRMA20013,Silicone Rubber ,1,1,1,13,SRMA20013,ANDROID,dist/upload/
